Latitude,Longitude,UTC Time,Elevation,Speed,Heading
0.0,0.0,,nan,nan,nan
nan,nan,2011-11-13T00:01:11.050Z,nan,nan,nan
nan,nan,2011-11-12T23:59:48.040Z,nan,nan,nan
nan,nan,2011-11-12T23:59:53.050Z,nan,nan,nan
nan,nan,2011-11-12T23:59:58.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:03.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:08.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:13.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:19.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:24.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:28.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:34.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:39.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:44.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:49.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:54.050Z,nan,nan,nan
nan,nan,2011-11-13T00:00:59.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:04.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:09.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:14.060Z,nan,nan,nan
nan,nan,2011-11-13T00:01:19.060Z,nan,nan,nan
nan,nan,2011-11-13T00:01:25.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:30.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:34.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:40.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:45.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:50.050Z,nan,nan,nan
nan,nan,2011-11-13T00:01:55.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:00.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:05.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:10.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:15.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:20.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:25.050Z,nan,nan,nan
nan,nan,2011-11-13T00:02:30.040Z,nan,nan,nan
nan,nan,2011-11-13T00:02:35.040Z,nan,nan,nan
nan,nan,2011-11-13T00:02:40.040Z,nan,nan,nan
nan,nan,2011-11-13T00:02:46.040Z,nan,nan,nan
nan,nan,2011-11-13T00:02:51.040Z,nan,nan,nan
nan,nan,2011-11-13T00:02:55.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:01.050Z,nan,nan,nan
nan,nan,2011-11-13T00:03:06.050Z,nan,nan,nan
nan,nan,2011-11-13T00:03:11.050Z,nan,nan,nan
nan,nan,2011-11-13T00:03:16.060Z,nan,nan,nan
nan,nan,2011-11-13T00:03:21.060Z,nan,nan,nan
nan,nan,2011-11-13T00:03:26.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:31.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:36.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:41.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:46.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:52.040Z,nan,nan,nan
nan,nan,2011-11-13T00:03:57.040Z,nan,nan,nan
nan,nan,2011-11-13T00:04:01.040Z,nan,nan,nan
nan,nan,2011-11-13T22:32:06.880Z,nan,nan,nan
nan,nan,2011-11-13T22:32:11.880Z,nan,nan,nan
nan,nan,2011-11-13T22:32:16.880Z,nan,nan,nan
nan,nan,2016-04-24T22:32:21.880Z,nan,nan,nan
40.006606247,-105.259377315,2016-04-24T22:32:26.880Z,1631.539,0.209,250.9572
40.006340575,-105.25866051,2016-04-24T22:32:31.880Z,1641.808,0.702,92.537
40.007162829,-105.261324278,2016-04-24T22:32:36.880Z,1750.768,0.237,16.104
40.007273157,-105.261342799,2016-04-24T22:32:41.880Z,1723.724,0.176,349.2481
40.007232017,-105.261399307,2016-04-24T22:32:47.880Z,1691.837,1.354,254.4949
40.007229684,-105.261498918,2016-04-24T22:32:52.000Z,1690.59,2.765,272.0414
40.007338666,-105.261589299,2016-04-24T22:32:58.000Z,1688.612,2.764,355.446
40.007543442,-105.261556459,2016-04-24T22:33:03.000Z,1686.403,4.44,1.5521
40.007695458,-105.261525669,2016-04-24T22:33:07.000Z,1683.398,3.82,7.4163
40.007910178,-105.261470237,2016-04-24T22:33:13.000Z,1681.428,3.727,2.0189
40.008051528,-105.261518517,2016-04-24T22:33:18.000Z,1679.834,3.402,318.6478
40.008096873,-105.261698234,2016-04-24T22:33:23.000Z,1680.056,3.283,273.2672
40.008089284,-105.261943676,2016-04-24T22:33:28.000Z,1673.282,3.76,270.103
40.008077546,-105.262206579,2016-04-24T22:33:33.000Z,1663.947,4.002,269.4909
40.008057475,-105.26244894,2016-04-24T22:33:38.000Z,1657.27,3.71,264.7451
40.008052508,-105.262688219,2016-04-24T22:33:43.000Z,1653.26,3.798,272.7168
40.008045805,-105.262947008,2016-04-24T22:33:48.000Z,1651.036,4.517,269.4585
40.008050349,-105.263313625,2016-04-24T22:33:54.000Z,1650.435,5.427,270.6335
40.008057438,-105.263572414,2016-04-24T22:33:58.000Z,1649.496,5.186,270.0724
40.008053859,-105.263910273,2016-04-24T22:34:04.000Z,1649.97,4.355,263.8859
40.007963135,-105.264084841,2016-04-24T22:34:09.000Z,1649.53,4.268,209.0366
40.00777105,-105.264112542,2016-04-24T22:34:14.000Z,1650.06,4.244,180.4382
40.007595506,-105.264157704,2016-04-24T22:34:19.000Z,1649.957,3.599,209.565
40.007441866,-105.264365122,2016-04-24T22:34:24.000Z,1650.066,4.982,223.1778
40.00731035,-105.264593083,2016-04-24T22:34:29.000Z,1648.803,4.624,245.8836
40.007285366,-105.264853917,2016-04-24T22:34:34.000Z,1648.997,3.853,267.2061
40.007313142,-105.265112703,2016-04-24T22:34:39.000Z,1649.988,4.886,276.2331
40.007316667,-105.265442347,2016-04-24T22:34:44.000Z,1649.521,5.549,268.4225
40.007300601,-105.26577712,2016-04-24T22:34:49.000Z,1650.091,5.479,263.9565
40.007285335,-105.266157075,2016-04-24T22:34:55.000Z,1652.111,4.638,269.2092
40.007259036,-105.266420991,2016-04-24T22:35:00.000Z,1650.925,4.766,266.6721
40.007283171,-105.266648974,2016-04-24T22:35:04.000Z,1649.286,5.026,274.5105
40.007280806,-105.267015587,2016-04-24T22:35:10.000Z,1648.043,5.307,270.8739
40.00728179,-105.267319556,2016-04-24T22:35:15.000Z,1647.913,5.155,268.1444
40.007284297,-105.26761223,2016-04-24T22:35:20.000Z,1647.581,5.001,268.5383
40.007288116,-105.26790182,2016-04-24T22:35:25.000Z,1648.63,4.759,268.9734
40.007307676,-105.268163691,2016-04-24T22:35:30.000Z,1647.597,4.381,281.9224
40.007427684,-105.268370123,2016-04-24T22:35:35.000Z,1648.827,4.295,321.8451
40.007595592,-105.26851495,2016-04-24T22:35:40.000Z,1649.941,4.284,343.6407
40.007811899,-105.268683407,2016-04-24T22:35:46.000Z,1650.872,4.712,319.1625
40.007929069,-105.26890422,2016-04-24T22:35:51.000Z,1650.922,4.862,289.8944
40.008008796,-105.269115783,2016-04-24T22:35:55.000Z,1651.261,4.835,297.8161
40.008122917,-105.269359189,2016-04-24T22:36:01.000Z,1651.714,4.14,309.5826
40.008266571,-105.269574876,2016-04-24T22:36:06.000Z,1651.371,4.711,309.8193
40.00838374,-105.269795692,2016-04-24T22:36:11.000Z,1651.422,3.858,291.2265
40.008468553,-105.269925105,2016-04-24T22:36:16.000Z,1651.087,3.067,322.8255
40.00861811,-105.269970322,2016-04-24T22:36:21.000Z,1651.519,4.178,352.1478
40.008859907,-105.269963184,2016-04-24T22:36:26.000Z,1652.188,5.173,1.5693
40.009071371,-105.269938583,2016-04-24T22:36:31.000Z,1652.206,4.421,5.1121
40.009228851,-105.269887267,2016-04-24T22:36:36.000Z,1653.144,2.95,10.4836
40.009406737,-105.269742502,2016-04-24T22:36:42.000Z,1654.494,3.99,58.3952
